Date,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
200606,-5.93,-5.1,-4.91,-3.46,-3.66,-4.14
200607,-0.73,-1.1,0.47,2.02,2.04,1.01
200608,2.63,3.93,4.19,4.74,3.25,2.85
200609,4.68,4.18,3.99,2.39,3.04,4.17
200610,4.11,5.62,7.17,4.58,5.85,6.75
200611,6.99,7.3,9.9,6.37,6.54,8.2
200612,1.26,2.92,4.93,3.37,3.83,4.41
200701,2.28,3.02,5.31,0.38,0.73,2.1
200702,2.02,2.16,4.35,1.01,1.51,2.01
200703,6.03,5.54,5.02,4.18,4.9,4.95
200704,6.01,6.06,9.25,5.76,6.74,8.52
200705,7.57,6.57,8.8,6.06,6.48,6.1
200706,5.46,6.32,6.31,4.54,4.83,4.71
200707,4.47,5.68,7.94,5.88,5.98,8.57
200708,-6.64,-5.08,-3.71,-5.39,-5.13,-4.36
200709,3.91,5.03,8.34,8.22,7.77,8.1
200710,2.09,1.86,3.2,7.1,7.17,6.45
200711,-6.4,-4.48,-1.78,-6.92,-6.33,-5.52
200712,0.87,2.79,9.03,1.81,1.97,2.25
200801,-11.79,-10.74,-10.76,-11.96,-11.83,-10.58
200802,4.08,4.82,3.5,7.23,6.03,6.53
200803,-6.06,-6.76,-6.03,-4.75,-5.01,-6.05
200804,1.26,3.9,6.85,5.06,5.17,4.94
200805,-1.32,-1.86,-0.93,-0.7,-1.29,-0.32
200806,-10.51,-9.44,-9.38,-11.76,-11.27,-11.34
200807,-1.69,-1.81,-0.07,-0.37,-1.38,-1.03
200808,-7.67,-7.33,-5.67,-6.81,-5.9,-6.85
200809,-17.29,-17.34,-14.82,-16.76,-17.49,-16.64
200810,-28.3,-25.75,-25.02,-28.37,-28.94,-29.45
200811,-9.74,-9.59,-7.53,-8.48,-7.75,-5.94
200812,6.7,8.31,10.58,11.71,10.11,11.88
200901,-3.39,-3.64,-3.89,-5.02,-5.54,-5.84
200902,-2.81,-3.52,-4.32,-4.4,-5.36,-5.99
200903,9.84,13.02,9.34,13.44,15.32,15
200904,21.86,21.01,19.81,21.79,21.58,22.3
200905,22.53,21.58,23.06,22.11,21.77,22.46
200906,-1.25,-0.02,0.28,-0.13,0.64,-0.54
200907,7.92,9.03,9.41,9.63,11,13.59
200908,2.66,3.91,6.18,0.96,1.55,2.27
200909,6,7.35,9.26,7.35,8.42,8.41
200910,0.02,0.99,0.26,-0.61,-0.37,-0.49
200911,1.5,2.4,4.32,3.04,2.72,2.39
200912,4.7,5.76,8.13,4.78,5.64,5.71
201001,2.45,1.48,1.95,-2.23,-1.69,-1.94
201002,0.58,1.47,0.72,0.95,0.29,-0.28
201003,4.52,7.3,7.74,6.62,8.17,9.88
201004,1.96,4.1,7.76,2.3,2.59,3
201005,-9.55,-9.09,-9.84,-8.43,-9.26,-10.28
201006,0.49,1.19,2.55,2.17,1.25,1.1
201007,5.85,6.05,7.37,6.21,7.78,8.36
201008,-1.36,-1,0.76,0.15,0.67,0.98
201009,9.91,8.88,10,10.96,11.68,11.52
201010,2.95,3.67,4.89,1.66,3.29,4.16
201011,-4.24,-3.62,-4.36,-1.73,-2.5,-2.9
201012,4.77,5.44,5.52,5.33,6.15,7.93
201101,-1.48,-1.8,-3.21,-2.78,-2.7,-1.19
201102,-2.76,-2.71,-2.73,-2.9,-3.02,-3.54
201103,2.64,3.28,3.53,4.82,5.4,5.69
201104,3.45,4.38,6.04,5.12,4.51,3.77
201105,-3.6,-3.1,-3.5,-1.48,-2.13,-1.87
201106,-1.75,-0.9,-0.71,-0.65,-1.22,-1.85
201107,1.64,2.31,3.98,1.34,1.25,1.18
201108,-10.79,-10.79,-9.45,-8.56,-10.05,-9.65
201109,-13.41,-12.46,-10.9,-13.27,-13.85,-14.75
201110,8.43,8.61,6.88,9.49,10.01,9.49
201111,-6.78,-7.54,-7.09,-7.35,-8.29,-7.41
201112,-1.64,-2.27,-1.91,-1.4,-1.08,-1.72
201201,12.3,12.6,13.57,11.29,13.18,13.12
201202,8.44,8.88,7.69,8.56,8.03,8.57
201203,-4.22,-2.73,-3.34,-1.89,-2.74,-3.3
201204,-4.15,-2.36,-1,-2.09,-1.78,-1.95
201205,-9.74,-8.69,-8.15,-7.72,-9.44,-9.3
201206,3.67,3.41,3.25,3.36,3.07,4.22
201207,-2.03,-0.77,-0.19,0.53,0.74,0.18
201208,1.51,2.5,1.54,2.85,2.16,0.58
201209,5.63,5.93,7.44,5.2,6.51,8.01
201210,-1.35,-1.17,0.08,-1.12,-1.34,-1.45
201211,-0.54,0.02,0.45,1.15,1.41,2.02
201212,3.23,3.3,2.84,3.39,4.77,6.04
201301,2.13,2.26,2.79,1.11,1.9,2.79
201302,-0.16,-0.37,-2,0.18,0.09,-0.99
201303,-1.82,-0.88,-1.3,-0.27,-0.42,-1.01
201304,0.92,1.83,2.64,1.02,1.54,1.75
201305,-1.76,0.3,0.64,0.01,-0.66,-0.33
201306,-6.32,-6.8,-7.31,-6.51,-6.92,-8.36
201307,2.77,2.49,-0.06,1.91,0.67,0.54
201308,-4.14,-4.35,-3.91,-4.02,-3.75,-3.44
201309,7.19,8.24,8.08,6.41,6.68,8.27
201310,2.7,4.29,5.08,3.31,4.31,4.87
201311,-1.77,-1.63,-0.54,-1.51,-1.33,-1.79
201312,1.91,1.13,2.35,-0.7,-0.1,0.04
201401,-0.17,-1.63,-1.29,-4.08,-3.95,-3.84
201402,5.35,4.76,4.95,4.68,4.28,3.92
201403,1.36,3.31,3.8,2.44,2.99,3.85
201404,1.19,2.71,4.02,1.14,0.71,1.8
201405,3.28,4.71,8.31,2.94,3.57,5.14
201406,2.93,3.69,6.16,2.37,2.34,2.49
201407,-1.4,0.46,0.45,0.06,1.13,2.58
201408,-0.37,3.04,2.18,2.09,2.12,1.09
201409,-1.84,-1.21,-0.13,-3.13,-3.97,-5.02
201410,-2.11,-1.14,-0.9,-1.59,-1.2,-1.04
201411,-1.06,-1.18,-1.38,-1.15,-1.13,-1.22
201412,-2.45,-2.2,-3.42,-2.65,-2.1,-3.12
201501,0.44,2.22,2.57,1.1,0.63,-0.15
201502,2.19,3.49,2.38,1.85,2.53,2.86
201503,-0.78,-0.14,-2.1,-0.35,-1.42,-1.95
201504,6.72,6.75,6.85,4.88,5.89,7.31
201505,-0.79,-1.08,-0.46,-1.04,-2.16,-3.73
201506,-1.09,-1.48,-1.54,-2.19,-3.23,-3.35
201507,-3.92,-2.95,0.56,-4.13,-6.18,-6.1
201508,-7.81,-8.89,-9.28,-8.2,-8.92,-9.53
201509,2.64,2.17,1,-0.52,-0.33,-0.33
201510,5.01,6.81,6.73,5.35,5.65,6.32
201511,-1.48,-1.06,0.14,-1.09,-3.35,-3.51
201512,-0.36,1.13,3.3,-0.32,-0.35,-0.96
201601,-5.41,-5.49,-5.46,-4.88,-5.35,-6.29
201602,-0.94,-0.88,-3.06,-1.58,-0.02,1.4
201603,10.88,10.31,10.61,9.77,11.58,13.01
201604,0.59,2.12,4.3,1.53,0.7,2.76
201605,-3.17,-2.97,-2.85,-2.73,-3.26,-5.5
201606,2.36,3.34,3.98,1.96,2.99,3.67
201607,2.96,4.98,5.64,3.46,4.42,6.27
201608,-0.13,0.49,1.52,0.06,1.15,2.49
201609,1.21,2.27,2.43,0.71,0.63,0.64
201610,-2.38,-0.7,3.59,-3.17,-1.29,0.22
201611,-6.36,-5.38,-5.63,-6.46,-5.3,-3.67
201612,0.98,1.61,1.52,0.5,0.94,0.6
201701,3.09,4.69,6.85,2.93,4.42,6.05
201702,1.82,3.42,4.68,3.95,4.18,5.59
201703,1.54,4.08,4.17,1.96,2.86,2.86
201704,0.51,1.67,3.7,1.71,1.61,1.34
201705,1.16,1.04,-0.4,2.68,2.48,2.1
201706,0.06,0.25,0.93,-0.32,0.37,0.68
201707,0.71,1.92,3.45,2.51,2.46,3.73
201708,-0.89,0.29,0.18,0.51,1.2,1.65
201709,-2.18,-1.19,0.65,0.01,-1.01,-1.2
201710,2.54,3.4,4.37,2.78,2.86,3.21
201711,2.72,2.14,1.88,2.52,0.94,0.48
201712,3.61,3.06,4.28,4.45,3.43,3.49
201801,6.52,5.8,5.05,4.19,5.72,7.2
201802,-2.6,-2.78,-3.19,-3.28,-3.74,-4.47
201803,0.87,-0.6,-2.94,-0.16,-0.79,-2.39
201804,-0.83,0.07,0.6,-1.57,-0.6,0.22
201805,-3.97,-2.88,-3.85,-3.43,-3.21,-2.73
201806,-5.16,-5.35,-5.88,-4.31,-5.3,-5.84
201807,-0.18,0.16,0.11,0.08,1.73,2.05
201808,-2.81,-1.47,-1.92,-1.53,-1.73,-2.63
201809,-2.77,-3,-3.32,-2.31,-1.51,-0.91
201810,-10.84,-10.58,-6.42,-11.11,-9.19,-7.52
201811,3.72,5.41,5.29,5.84,5.41,5.23
201812,-1.6,-0.97,0.03,-1.56,-1.24,-0.6
201901,4.16,4.13,3.11,5.24,5.74,6.29
201902,1.05,0.66,-0.05,2.23,1.64,0.9
201903,0.66,1.49,1.96,0.44,0.51,-0.06
201904,0.02,0.36,-0.09,0.77,0.14,1.29
201905,-3.72,-4.39,-3.42,-5.94,-5.26,-4.4
201906,2.25,2.79,1.08,3.09,3.9,4.2
201907,-3.41,-3.6,-3.39,-1.63,-2.52,-3.2
201908,-3.81,-3.71,-4.04,-2.61,-4.63,-5.52
201909,2.09,3.46,3.05,2.23,2.41,1.89
201910,2.76,2.24,0.73,5.33,2.69,2.54
201911,-1.12,-0.52,-0.3,-0.91,-0.11,0.23
201912,4.49,4.88,4.22,5.33,6.69,5.76
202001,-0.88,-1.21,-0.2,-4.02,-4.63,-5.91
202002,-6.19,-6.29,-7.49,-6.28,-7.27,-8.41
202003,-14.9,-18.53,-20.3,-14.7,-19.47,-21.8
202004,15.31,16.88,16.04,14.16,15.16,14.73
202005,5.44,4.67,2.8,4.35,2.17,1.3
202006,8.15,7.8,12.93,6.95,6.58,7.56
202007,8.32,8.23,6.1,8.48,9.93,8.21
202008,4.1,5.32,8.51,2.66,3.22,3.44
202009,2.86,1.96,-0.65,-2.27,-2.29,-2.75
202010,-0.51,0.06,0.91,-0.81,-0.22,0.59
202011,10.13,10.79,11.43,8.72,11.92,14.18
202012,6.46,5.76,10.6,7.62,5.99,6.24
202101,1.91,0.69,1.31,0.44,-0.31,-1.52
202102,4.33,5.06,6.61,0.68,2.95,5
202103,0.74,3.1,3.07,-1.26,-0.14,2.5
202104,4.01,5.2,7.26,2.88,3.56,5.29
202105,1.93,2.71,6.95,2.88,2.93,3.24
202106,2.29,2.94,5.34,1,-0.09,-0.15
202107,-0.26,0.4,3.98,-2.08,-0.91,-2.71
202108,1.16,0.52,0.61,1.32,2.51,4.57
202109,-2.96,-2.12,1.16,-3.37,-3.04,-0.36
202110,-0.68,1.07,2.05,0.66,1.48,-0.52
202111,-3.5,-2.52,-1.19,-1.34,-2.3,-4.5
202112,3.64,6.26,9.67,1.75,3.91,4.85
202201,-2.79,-3.91,1.39,-7.95,-4.38,-0.8
202202,-3.76,-1.03,-3.37,-1,0.58,1.25
202203,-1.6,-0.31,0.36,-2.33,-1.78,0.34
202204,-4.98,-4.18,0.6,-7.2,-5.68,-3.77
202205,-1.15,-0.58,-3.14,0.31,0.92,-0.52
202206,-6.71,-7.52,-5.9,-3.97,-5.59,-6.89
202207,1.56,2.63,2.57,1.08,1.5,0.54
202208,1.37,1.77,3.52,-0.73,-0.18,1.66
202209,-9.65,-10.01,-5.68,-11.4,-10.85,-9.46
202210,0.06,-0.05,-0.14,-0.33,0.59,-0.08
202211,10.08,10.71,8.77,12.16,12.66,13.89
202212,1.99,0.68,0.95,0.02,0.26,-0.13
202301,6.27,6.35,4.54,7.01,6.21,5.77
202302,-2.43,-2.45,-4.4,-4.02,-2.47,-3.36
